cancer有啲都有得医嘅	有些癌症还是可以治的
今日雨粉粉噉，唔晒得被咯	今天细雨纷飞的，不能晒被子了
今日食白果，输咗几千蚊	今天被剃了光头，输了几千块钱
今日高兴大家饮傻仔水	今天高兴大家喝酒
今日黄金开市乜嘢盘口？	今天黄金市场开市时是甚么价格？
今日点解见唔到你嘅？	今天怎么没看见你？
今时唔同往日，点可以用旧眼光睇人！	今非昔比了，怎么可以用旧眼光看人！
今晚一定要早啲瞓！	今天晚上一定要早点睡
今晚仲要开OT，冇时间啦	今晚还要加班，没有时间了
今晚佢冇乜饮酒	今天晚上他没怎么喝酒
今晚佢戙起床板都抄唔晒	今晚他开夜车不睡觉也抄不完
今晚系化妆舞会，个个都扮到鬼五马六噉	今晚开化妆舞会，人人都打扮得稀奇古怪的
今晚十二点交更	今晚十二点交接班
今晚十二点去宵夜	今天晚上十二点去吃夜宵
今晚去睇大戏	今晚去看粤剧
今晚去饮，梗系要着老西喇	今晚赴宴，当然要穿西装
今晚唔得闲，我开O.T.	今天晚上没空，我得加班
今晚嘅演唱会佢唱得好落力	今晚的演唱会他唱得挺卖力的
今晚好好餸	今晚的菜很好
今晚得到很多善长仁翁，大破悭囊，筹款数字节节上升！	今天晚上有很多好心人慷慨捐献，筹款数目不断上升！
今晚我唔喺屋企食	今晚我不在家吃
今晚我唔喺屋企食，唔使预我	今晚我不在家吃，不用预备我的晚餐
今晚我瞓唔着呀	今天晚上我睡不着了
今晚打电话畀你吖	今晚给你打电话
今晚挨眼瞓都做唔完	今晚熬夜也干不完
今晚放哨要醒定啲	今晚放哨要当心一点
今晚有人请饮	今晚有人请酒
今晚礼堂做戏	今天晚上礼堂演戏
今晚筹到嘅善款有三百万	今天晚上筹集的捐款有三百万
今朝冷，着多一件衫啦!	今天早上冷，多穿一件衣服吧！
今次亚爸都畀你考起啦	这回爸爸都被你考倒了
今次佢起步犯规，要再跑过	这次他起跑犯规，要重新再跑一次
今次个贼实走唔甩嘞	这次那个小偷肯定跑不掉了
今次全靠你至搅得掂	这回真是全靠你了
今次去见边个？	这次去见谁？
今次又衰咗	这次又倒了霉
今次又衰咗	这次又失败了
今次大煲啦！	这次不好了！
今次实死啦	这次死定了
今次我就当系一场误会	这次我就当是一场误会
今次我真系扯晒火	这次我真的冒火了
今次掂喇	这回行了
今次攞奖主要系导演嘅功劳，我系摱车边啫	这次得奖主要是导演的功劳，我是跟着沾光而已
今次畀人呃咗，不过除笨有精，佢识咗个女朋友	这次让人给骗了，不过尚有得益之处，交了个女朋友
今次真系唔该晒你	这回真是太谢谢您了
今次真系搅出个大头佛	这次把事情弄糟了
今次真系畀佢落晒面啰	这次可真叫他丢尽了脸了
今次老细都得罪埋	这次连老板也得罪了
今次衰咗嘞！	这次坏了
今次请到呢几个歌星出场客串，一定杀食！	这回请了这几位明星客串表演，一定撑得住场面了吧！
今次面试佢定过抬油	这次面试他非常镇定
今餐啱啱使咗一张嘢	这一顿饭刚好花了一块钱
介唔介意阻你少少时间？	介不介意我打扰你一会儿？
介绍吓啲路数嚟	介绍一下门路来
介绍嚟识吓吖	介绍一下给我认识
仔大仔世界，你唔理得咁多啰	儿大不由娘，你也管不了那么多
他战斗力咁高，点会咁易放弃呀？	他战斗力这么高，岂会轻易放弃？
他特登请个外来师傅来起屋，唔通真系本地姜唔辣？	他特意请了一个外地师傅来盖房子，莫非真是远来的和尚会念经？
他行得好快	他走得很快
以前你就话同佢冇朋友做	以前你说你们俩做不成朋友
以前嘅嘢唔好摆喺心度	以前的事不要放在心上
以前就系，而家唔系	以前是的，现在不是了
以前有过拗撬都要合作	以前有过矛盾的也要合作
以前谂唔通，而家谂通咗	以前想不开，现在想通了
以后你唔好缠住我	以后你不要在缠着我
以后嘅事，请你执生	以后的事，你看着办吧
以后我哋拍住上，大把世界捞	以后我们合作，发财的机会多的是
以后要畀心机呀	以后要努力了
仲以为你唔翻香港添，咁耐都唔揾人哋出嚟！	还以为你不回香港了，这么久都不找人家出来！
仲使问嘅	这还用问吗
仲使讲咩	难道还用说吗
仲使讲？	那还用说？
仲系以前噉样	还是以前那样
仲系有问题	还是有问题
仲唔得咩	这样还不行吗
仲唔快啲，够晒钟嘞	还不快点儿，早到时间了
仲唔知道我系边个？	还不知道我是谁？
仲唔听话，就藤条炆猪肉喇！	还不听话，就要挨鸡毛掸子啦！
仲唔落雨就弊咯	再不下雨就糟了
仲唔行？	还不走？
仲唔觉觉猪呀！	还不睡觉觉去！
仲唔觉觉猪呀！	还不睡觉觉去！
仲唔走，迟到都有份	还不走，要迟到啦
仲想点呀？	还想怎样？
仲擝枪想打我？	还想掏枪打我？
仲有冇其他事？	还有其他事情吗？
仲有冇呀？	还有没有啊？
仲有冇第二只花款呀？	还有没有别的款式？
仲有冇第二只花款呀？攞嚟睇吓	还有没有别的款式？拿来看看
仲有冇质地更加好㗎？	还有质量更好些的吗？
仲有半个钟头先落堂	还有半个小时才下课
仲有呢	还有呢
仲有咩好介绍？	还有什么好介绍？
仲有咩好惊?	还有什么好怕的？
仲有啲嘢要做	还有些事要做
仲有好多	还有很多
仲有排呀	还有很长时间
仲未够钟	还没有到点
仲未拣好去边	还没选定去哪里
仲未玩够	还不尽兴
仲未瞓	还没睡
仲未谂定呀	还没考虑呢
仲未谂定呀，你有乜嘢好嘅意见呢？	还没考虑呢，你有什么好建议吗？
仲标准过我	比我还标准
仲争一个人	还缺一个人
仲争半个钟头就开车嘞，直情赶唔切啦	离开车时间只有半个小时，简直赶不上啦
仲畀十个嚟就够数喇	再拿十个来就够了
仲等乜嘢？	还等什么？
仲要人哋同你执手尾？	还要别人帮你收拾残局？
仲要晨早流流起身翻工	还要大清早的起床上班
仲觉觉猪吖	还睡懒觉哇
仲讨论乜鬼吖！	还讨论什么！
仲话唔系有心？	还说不是故意的？
仲讲乜鬼吖！	还说什么！
仲讲咁大声！	还说话那么大声！
仲食，唔饱咩？	还吃，不饱吗？
件事一啲线索都冇，真系唔知由边度埋手	这事一点线索都没有，不知道从哪儿入手
件事系噉嘅	事情是这样的
件事咁麻烦，我哋一于唔好理咁多喇	这件事挺麻烦的，我们干脆别管这么多了
件事搞大咗我惊冇办法收科	这件事搞大了我担心没法收场
件事搅大咗我惊冇办法收科	这件事搞大了我担心没法收场
件事发生咁突然	事出突然
件事发生咗咁耐	事情发生那么久
件事越搅越大	事情越搞越大
件事迫到埋身，我唔出声都唔得	这件事搞到我头上来了，我不开口说话都不行
件冷衫好拮肉	那毛衣挺扎人
件嘢好似烂咗	这个东西好像坏了
件蛋糕畀乌蝇搂过，唔好食！	这块蛋糕让苍蝇爬过，不要吃！
件衫个款都几靓，不过只色沉得滞	这件衣服的款式好倒好，不过颜色太沉了
件衫咁老土，佢点会着出嚟吖	这件衣服这么土气，他怎么会穿上身呢
件衫咁贵？真系唔抵	这件衣服这么贵？真划不来
件衫唔啱着	这件衣服穿着不合适
件衫啱晒你着	这件衣服你穿正合适
件衫巢𠵼𠵼，帮我烫吓喇	这件衣服皱巴巴的，帮我熨一熨吧
件衫几啱我心水	这件衣服挺合我的心意
件衫几靓㖞，等我入铺头瞄吓先	衣服不错，待我进店里面看看
件衫弗晒你	这件衣服你穿很合身
件衫押入条裤度整齐啲	把上衣掖在裤子里显得整齐点儿
件衫拮肉	這件衣服扎人
件衫有个穿窿	衣服上有个眼
件衫湿湆湆噉，快啲换咗佢！	衣服湿淋淋的，快换了！
件衫穿咗窿	衣服破了个洞
件衫窄过头，唔啱着	衣服太窄了，不合穿
件衫着到霉晒	这件衣裳穿得糟了
件衫蓉蓉烂烂噉都叫时装呀？	这件衣服破破烂烂的也叫时装啊？
件衫要二十蚊？食懵咗你	衣服要二十块钱，你疯了
件衫买咗几多银呀？	这件衣服买了多少钱？
件衫都几啱身㖞	这件衣服也挺合你身的
件衫阔过头	这件衣服太肥大了
件长袍拖到脚面	长袍子拖曳到脚面
任何佢哋方便嘅时间都得	任何他们方便的时间都可以
任你拣，甜嘅抑或咸㗎	随便你挑，甜的或是咸的
任你点都得，佢冇计带嘅	随便你怎么都成，他不会计较的
份内事嚟㗎	这是我应该的
份工你做住先，慢慢等机会	这份工作你暂时先做着，慢慢等机会
份工咁受气，一于擗炮罢啦	这份工作这么受气，干脆辞职算了
份稿check咗几次仲有错	这份稿子校对了几次还有错儿
企响度做咩呀？	站在这里干什么？
企喺海边吹吓海风，感觉真系爽	站在海边吹吹海风，感觉特痛快
企埋啲！	站远一点！
企定喺处	站在那里
伊捞七都唔好制	一般来说都不好答应
伙计，睇数吖！	伙计，结帐吧！
伙记，埋单	伙记，结帐
伙记，埋单	服务员，结胀
估吓我系边个	猜猜我是谁
估唔到佢仲早到过我哋	没想到他比我们还早到
估唔到佢咁衰	没想到他那么坏
估唔到佢唱呢首歌咁得	想不到她唱这首歌这么行
估唔到佢会噉对我	想不到他会这样对待我
估唔到会喺度撞翻嗰个衰人	没想到会在这里碰见那个混蛋
似唔似呀？	像不像啊？
但系你唔怪得晒我㗎	但是你也不能全怪我
但系全部解决晒	但是都解决了
但系如果我真系做错事嘅，我愿意付出代价去补偿	但是如果我真的做错了，我愿意付出代价去补偿
但系我自己都控制唔到我自己	但是我也无法控制自己
但系睇落你哋嘅价钱系唔系太高啦	但是你看你们的价格是不是太高了
但凡十八岁以下，都唔准参加	凡是十八岁一下的都不准参加
但后尾谂通咗	但是后来想通了
但我而家有好多嘢都谂通咗	但是我现在有很多事情都想通了
但而家旅游业面对内忧外患，点知好景可以维持得几耐	但现在旅游业面对内忧外患，谁知道好景可以维持多久呢
但而家谂通咗，放开咗	但是现在想通了，放开了
布置好会场扯得嘞	布置好会场可以走了
住七楼上落唔方便	住七楼上下不方便
佗仔好辛苦㗎	怀着孩子很辛苦的
佗住咁多嘢喺身行路都唔方便	身上挂着这么多东西走路也不方便
佗住啤啤嘅时候	怀孕期间
你一个人住咁大个单位，啲租又贵，唔化算㗎	你一个人住这么大的单元，租金又贵，不划算的
你一个人嚟咋？	仅仅你一个人来吗？
你一个人食晒成只鸡呀？	你一个人把整只鸡吃掉了？
你一个月可唔可以起到货？	你一个月能不能完工？
你一嚟就搅到我啲嘢乱晒龙！	你一来就把我的东西搞得乱糟糟的！
你一支公食饭咁惨呀	你一个人吃饭这么可怜啊
你一日净系食咁少嘢，蛇都死啦	你一天只吃那么一点点东西，无可挽救
你一早就知㗎喇？	你早就知道了？
你一粒色噉就想学人打排球啦？	你个子这么小就想跟别人一样打排球？
你中咗一千万奖金，下半世可以垠垠脚啦	你中了一千万奖金，下半辈子可以自自在在地享受了
你串错字	你把字拼错了
你之前有冇坐过呢班机呀？	你以前坐过这班机吗？
你乜咁番鬼㗎？	你怎么这么蛮不讲理？
你乜谁呀？	你是谁？
你乜都会做，真抵手	你什么都会做，真能干
你九点之后先好打去呀，之前我未翻㗎	你9点之后才好打来，之前我还没有回去的
你乱咁行，顾住荡失吖！	你乱走一气，小心迷路！
你乱发表意见，赚人家笑话你	你乱发表意见，只能让人家笑话你
你乱讲就真！	你乱说才对！
你亚爸喺唔喺度呀？	你爸爸在家吗？
你今年几多岁呀？	你今年多大？
你今年毕业，要出嚟挨世界喇	你今年毕业，就要出来苦熬谋生了
你今日做嘢醒定啲呀，唔好再做错嘢喇	你今天干活注意点儿，别再出错了！
你今日咁好唱口嘅	你今天心情这么好
你今日咁靓，抢晒镜㖞	你今天这么漂亮，把摄影机镜头全吸引过来了
你今日唔使翻工呀？	你今天不用上班吗？
你今日嘅日程安排系噉	你今天的日程安排是这样
你今日嚟得咁早晨呀！	你今天来得这么早！
你今日嚟得咁早晨呀！	你今天考得这么早！
你今日好靓仔㖞，去饮呀？	你今天很帅啊，赴宴去呀？
你今日应该几赶时间，因为你着咗鸳鸯袜	你今天应该很赶时间，因为您穿错袜子了
你今日有冇睇过公司嘅股票价格？	你今天看过公司的股票价格吗？
你今日玩得高唔高兴呀？	你今天玩得高兴吗？
你今日着得好靓㖞	你今天穿得很好看
你今日买嘢用咗几多钱？	你今天买东西花了多少钱？
你今日迟到，因住老板诈型呀	你今天迟到，小心老板给你脸色看
你今次又食柠檬呀？	你这回又碰一鼻子灰了？
你今次好彩	你这次走运
你今次玩完喇！	你这回完蛋了！
你今次玩完喇！	你这回没戏了！
你介唔介意我入嚟旁听会议？	如果我进来旁听会议，你介意吗？
你以后有咩事呢，第一时间打电话通知我啦	你以后有什么事，要马上打电话通知我
你以后有啲咩唔明喇，你可以问我，唔使客气	你以后有什么不明白可以问我，不用客气
